stock_code,stock_name,report_year,report_quarter,declare_date,act_np,con_np,excess_rate
1,平安银行,2016,4,2017-03-17,2259900.0,2350000.0,-0.0383
1,平安银行,2018,2,2018-08-16,2479289.9812,2412442.7969,0.0277
1,平安银行,2018,4,2019-01-04,2481800.0,2476985.6237,0.0019
1,平安银行,2019,1,2019-04-24,2800945.6666,2709808.4952,0.0336
1,平安银行,2019,3,2019-10-22,2869681.588,2807697.1991,0.0221
1,平安银行,2019,4,2020-01-14,2819500.0,2868557.6874,-0.0171
2,万科A,2016,3,2016-10-28,2153232.2159,2109990.8478,0.0205
2,万科A,2017,2,2017-08-25,2559397.0732,2478691.8,0.0326
2,万科A,2017,3,2017-10-27,2657454.8689,2601176.8344,0.0216
2,万科A,2017,4,2018-03-27,2805181.4882,2653641.2145,0.0571
2,万科A,2018,4,2019-03-26,3377265.1679,3521468.9468,-0.0409
2,万科A,2019,4,2020-03-18,3887208.6881,4147346.9392,-0.0627
5,世纪星源,2016,4,2017-01-26,13000.0,17700.0,-0.2655
5,世纪星源,2018,4,2019-04-25,14880.9094,17116.12,-0.1306
6,深振业A,2016,1,2016-04-12,58271.5,46900.0,0.2425
6,深振业A,2017,2,2017-07-13,101063.0,76949.718,0.3134
6,深振业A,2017,4,2018-01-13,78677.6719,103490.4,-0.2398
6,深振业A,2019,4,2020-01-14,80650.1458,94700.0,-0.1484
7,全新好,2016,4,2017-04-15,7801.9021,8000.0,-0.0248
7,全新好,2018,4,2019-04-30,-19621.2069,-36159.0969,0.4574
7,全新好,2019,4,2020-04-29,2228.7512,2398.5675,-0.0708
8,神州高铁,2016,1,2016-04-30,47500.0,52005.0163,-0.0866
8,神州高铁,2016,2,2016-08-25,51520.1322,57167.855,-0.0988
8,神州高铁,2016,3,2016-10-26,51787.3846,55226.6667,-0.0623
8,神州高铁,2016,4,2017-01-17,50000.0,49283.1949,0.0145
8,神州高铁,2017,1,2017-04-27,63758.5714,70420.5714,-0.0946
8,神州高铁,2017,2,2017-08-30,57361.1,60369.98,-0.0498
8,神州高铁,2017,4,2017-12-29,81000.0,64821.586,0.2496
8,神州高铁,2018,1,2018-04-28,87200.0,76094.905,0.1459
8,神州高铁,2018,2,2018-08-09,78111.7644,71700.0,0.0894
8,神州高铁,2018,4,2019-01-31,35000.0,78913.235,-0.5565
8,神州高铁,2019,4,2020-04-15,43438.032,44492.726,-0.0237
9,中国宝安,2017,4,2018-04-28,13320.3837,21493.45,-0.3803
9,中国宝安,2018,4,2019-04-30,21378.0585,20020.4254,0.0678
9,中国宝安,2019,4,2020-01-18,28000.0,23700.0,0.1814
10,美丽生态,2016,4,2017-01-25,5300.0,16280.0,-0.6744
10,*ST美丽,2019,4,2020-04-30,4647.48,5129.5778,-0.094
11,深物业A,2016,4,2017-03-31,35485.7242,30200.0,0.175
12,南玻A,2016,1,2016-04-25,79039.9235,73517.1342,0.0751
12,南玻A,2016,2,2016-07-15,81296.4404,85558.9483,-0.0498
12,南玻A,2016,3,2016-10-28,92210.963,88141.3333,0.0462
12,南玻A,2016,4,2017-04-28,79772.1576,98836.3611,-0.1929
12,南玻A,2017,2,2017-08-22,92882.6667,115880.0,-0.1985
12,南玻A,2017,3,2017-10-27,89457.5385,85292.5714,0.0488
12,南玻A,2017,4,2018-04-23,82538.8312,89429.312,-0.077
12,南玻A,2018,1,2018-04-28,93456.0,106818.345,-0.1251
12,南玻A,2018,2,2018-08-28,86599.3333,93456.0,-0.0734
12,南玻A,2018,4,2019-04-17,45296.5935,88761.593,-0.4897
12,南玻A,2019,1,2019-04-26,67583.0,111667.811,-0.3948
12,南玻A,2019,2,2019-08-23,68020.6667,45600.0,0.4917
12,南玻A,2019,3,2019-10-28,79231.0,56810.3333,0.3947
12,南玻A,2019,4,2020-04-30,53643.0818,69700.0,-0.2304
16,深康佳A,2019,4,2020-02-07,29000.0,61000.0,-0.5246
18,神州长城,2016,1,2016-04-30,55281.8286,57797.1728,-0.0435
18,神州长城,2016,3,2016-10-26,51480.4,55741.8333,-0.0764
18,神州长城,2016,4,2017-04-28,47366.1863,49464.3333,-0.0424
18,神州长城,2017,1,2017-04-29,69361.0078,72290.8571,-0.0405
18,神州长城,2017,2,2017-08-12,68162.3636,73424.0,-0.0717
18,神州长城,2017,4,2018-02-12,66312.66,69500.0,-0.0459
20,深华发A,2016,4,2017-04-25,545.771,626.0,-0.1282
20,深华发A,2019,4,2020-04-30,546.0049,575.38,-0.0511
21,深科技,2016,2,2016-07-15,33863.0,39200.0,-0.1361
21,深科技,2016,3,2016-10-15,37790.0086,33661.1159,0.1227
21,深科技,2016,4,2017-03-31,21442.3543,33838.9653,-0.3663
21,深科技,2017,1,2017-04-29,35906.6667,34030.0,0.0551
21,深科技,2017,2,2017-08-25,44545.0,33838.965,0.3164
21,深科技,2017,4,2018-03-20,54130.3,59950.0,-0.0971
21,深科技,2018,1,2018-04-28,57379.115,63590.0,-0.0977
21,深科技,2018,4,2019-04-10,53007.32,58540.0,-0.0945
21,深科技,2019,4,2020-04-24,35230.1167,53326.6667,-0.3394
22,深赤湾A,2017,2,2017-08-25,57507.1724,63050.0,-0.0879
22,深赤湾A,2017,4,2018-03-07,50449.5064,59700.0,-0.1549
23,深天地A,2016,4,2017-01-23,1050.0,39092.004,-0.9731
26,飞亚达A,2016,2,2016-08-26,12683.0,13670.0,-0.0722
26,飞亚达A,2016,4,2017-03-10,11066.2682,12900.0,-0.1421
26,飞亚达A,2017,4,2018-03-10,14021.6258,15314.8824,-0.0844
26,飞亚达A,2018,2,2018-08-23,18572.9616,19838.0,-0.0638
26,飞亚达A,2018,3,2018-10-20,16783.5758,18606.4444,-0.098
26,飞亚达A,2018,4,2019-01-30,17526.0,16786.06,0.0441
26,飞亚达A,2019,2,2019-08-15,21998.5556,20387.0,0.079
27,深圳能源,2016,2,2016-07-27,156410.0,242135.0,-0.354
27,深圳能源,2016,4,2017-04-08,134707.0276,140745.0,-0.0429
27,深圳能源,2017,2,2017-08-26,113700.0,118934.748,-0.044
27,深圳能源,2017,4,2018-02-03,78036.0,115200.0,-0.3226
27,深圳能源,2018,1,2018-04-28,95558.0,132000.0,-0.2761
27,深圳能源,2018,2,2018-08-23,134700.0,94800.0,0.4209
27,深圳能源,2018,4,2019-01-24,73068.0,84600.0,-0.1363
