股票代码,公司简称,统计日期,发布时间,预告类型
4,国华网安,2016-03-31,2016-04-15,续亏
4,国华网安,2016-06-30,2016-07-15,预增
4,国华网安,2016-09-30,2016-10-15,预增
4,国华网安,2016-12-31,2017-01-24,预增
4,国华网安,2017-03-31,2017-04-15,续亏
4,国华网安,2017-06-30,2017-07-14,首亏
4,国华网安,2017-09-30,2017-10-14,首亏
4,国华网安,2017-12-31,2018-01-31,预减
4,国华网安,2018-03-31,2018-04-14,扭亏
4,国华网安,2018-06-30,2018-07-14,扭亏
4,国华网安,2018-09-30,2018-10-15,续亏
4,国华网安,2018-12-31,2019-01-29,首亏
4,国华网安,2019-03-31,2019-04-25,预增
4,国华网安,2019-06-30,2019-07-13,首亏
4,国华网安,2019-09-30,2019-10-15,续亏
4,国华网安,2019-12-31,2020-01-18,扭亏
5,ST星源,2016-03-31,2016-04-15,减亏
5,ST星源,2016-06-30,2016-07-15,扭亏
5,ST星源,2016-09-30,2016-10-15,扭亏
5,ST星源,2016-12-31,2017-01-26,扭亏
5,ST星源,2017-03-31,2017-04-15,续亏
5,ST星源,2017-06-30,2017-07-15,首亏
5,ST星源,2017-09-30,2017-10-14,首亏
5,ST星源,2017-12-31,2018-01-31,预减
5,ST星源,2018-03-31,2018-04-14,扭亏
5,ST星源,2018-06-30,2018-07-14,扭亏
5,ST星源,2018-09-30,2018-10-13,扭亏
5,ST星源,2018-12-31,2019-01-31,预增
5,ST星源,2019-03-31,2019-04-13,首亏
5,ST星源,2019-06-30,2019-07-13,预增
5,ST星源,2019-09-30,2019-10-15,预增
5,ST星源,2019-12-31,2020-01-21,预减
6,深振业A,2016-03-31,2016-04-12,预减
6,深振业A,2016-06-30,2016-07-12,预减
6,深振业A,2016-09-30,2016-10-14,预减
6,深振业A,2016-12-31,2017-01-11,预增
6,深振业A,2017-03-31,2017-04-13,预增
6,深振业A,2017-06-30,2017-07-13,预增
6,深振业A,2017-09-30,2017-10-12,预增
6,深振业A,2018-03-31,2018-04-13,预增
6,深振业A,2018-06-30,2018-07-13,预增
6,深振业A,2019-03-31,2019-04-13,预减
6,深振业A,2019-06-30,2019-07-13,预减
7,*ST全新,2016-03-31,2016-04-15,扭亏
7,*ST全新,2016-06-30,2016-07-15,扭亏
7,*ST全新,2016-09-30,2016-10-15,续亏
7,*ST全新,2016-12-31,2017-01-24,预增
7,*ST全新,2017-03-31,2017-04-15,预减
7,*ST全新,2017-06-30,2017-07-17,预增
7,*ST全新,2017-09-30,2017-10-14,预减
7,*ST全新,2017-12-31,2018-01-31,预减
7,*ST全新,2018-03-31,2018-04-14,首亏
7,*ST全新,2018-06-30,2018-07-14,首亏
7,*ST全新,2018-09-30,2018-10-13,首亏
7,*ST全新,2018-12-31,2019-01-31,首亏
7,*ST全新,2019-03-31,2019-04-13,扭亏
7,*ST全新,2019-06-30,2019-07-13,续亏
7,*ST全新,2019-09-30,2019-10-15,续亏
7,*ST全新,2019-12-31,2020-01-31,扭亏
8,神州高铁,2016-03-31,2016-04-15,预减
8,神州高铁,2016-09-30,2016-10-15,预增
8,神州高铁,2016-12-31,2017-01-17,略增
8,神州高铁,2017-12-31,2017-12-29,预增
8,神州高铁,2018-12-31,2019-01-31,预减
9,中国宝安,2016-09-30,2016-10-15,预减
9,中国宝安,2016-12-31,2017-01-24,预减
9,中国宝安,2018-12-31,2019-01-29,预增
9,中国宝安,2019-03-31,2019-04-13,预增
9,中国宝安,2019-09-30,2019-10-08,预增
9,中国宝安,2019-12-31,2020-01-18,预增
10,美丽生态,2016-03-31,2016-04-16,续亏
10,美丽生态,2016-06-30,2016-04-29,预增
10,美丽生态,2016-09-30,2016-10-14,预增
10,美丽生态,2016-12-31,2017-01-25,预增
10,美丽生态,2017-03-31,2017-04-15,减亏
10,美丽生态,2017-06-30,2017-07-15,首亏
10,美丽生态,2017-09-30,2017-10-16,预减
10,美丽生态,2018-03-31,2018-04-14,续亏
10,美丽生态,2018-06-30,2018-07-14,续亏
10,美丽生态,2018-09-30,2018-10-16,首亏
10,美丽生态,2018-12-31,2019-01-30,续亏
10,美丽生态,2019-03-31,2019-04-13,扭亏
10,美丽生态,2019-06-30,2019-07-13,扭亏
10,美丽生态,2019-09-30,2019-10-15,扭亏
10,美丽生态,2019-12-31,2020-01-21,扭亏
11,深物业A,2016-03-31,2016-03-31,略增
11,深物业A,2016-06-30,2016-04-30,首亏
11,深物业A,2016-09-30,2016-08-27,首亏
11,深物业A,2016-12-31,2016-10-29,预增
11,深物业A,2017-03-31,2017-03-31,预增
11,深物业A,2017-06-30,2017-04-29,扭亏
11,深物业A,2017-09-30,2017-08-31,扭亏
11,深物业A,2017-12-31,2017-10-31,预增
11,深物业A,2018-03-31,2018-04-12,预减
11,深物业A,2018-06-30,2018-07-11,预减
11,深物业A,2018-09-30,2018-10-10,预减
12,南玻A,2016-03-31,2016-04-06,预增
12,南玻A,2016-06-30,2016-07-15,预增
12,南玻A,2016-09-30,2016-10-13,预增
14,沙河股份,2016-03-31,2016-04-12,首亏
14,沙河股份,2016-06-30,2016-07-14,首亏
14,沙河股份,2016-09-30,2016-10-13,续亏
14,沙河股份,2017-03-31,2017-04-14,减亏
14,沙河股份,2017-06-30,2017-07-12,扭亏
14,沙河股份,2017-09-30,2017-10-13,扭亏
14,沙河股份,2017-12-31,2018-01-25,预减
14,沙河股份,2018-03-31,2018-04-10,扭亏
14,沙河股份,2018-12-31,2019-01-23,预增
14,沙河股份,2019-03-31,2019-04-12,首亏
14,沙河股份,2019-06-30,2019-07-11,首亏
14,沙河股份,2019-09-30,2019-10-12,首亏
14,沙河股份,2019-12-31,2020-01-23,预减
16,深康佳A,2016-06-30,2016-07-14,扭亏
16,深康佳A,2016-09-30,2016-10-15,减亏
16,深康佳A,2016-12-31,2017-01-21,扭亏
16,深康佳A,2017-03-31,2017-04-15,预增
16,深康佳A,2017-06-30,2017-07-14,预增
